"PPE_NO";"GODZ";"FLAGA_EXTR";"ENERGIA";"WARTOSC"
"PLTAUD475000010462";2019-03-01 19:00:00;0;"Ri+";2,88
"PLTAUD475000010462";2019-03-01 19:15:00;0;"A+";22,68
"PLTAUD475000010462";2019-03-01 19:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 19:15:00;0;"Ri+";2,64
"PLTAUD475000010462";2019-03-01 19:30:00;0;"A+";24
"PLTAUD475000010462";2019-03-01 19:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 19:30:00;0;"Ri+";3,36
"PLTAUD475000010462";2019-03-01 19:45:00;0;"A+";21,72
"PLTAUD475000010462";2019-03-01 19:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 19:45:00;0;"Ri+";3,48
"PLTAUD475000010462";2019-03-01 20:00:00;0;"A+";21,12
"PLTAUD475000010462";2019-03-01 20:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 20:00:00;0;"Ri+";3,48
"PLTAUD475000010462";2019-03-01 20:15:00;0;"A+";19,2
"PLTAUD475000010462";2019-03-01 20:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 20:15:00;0;"Ri+";3,12
"PLTAUD475000010462";2019-03-01 20:30:00;0;"A+";21,12
"PLTAUD475000010462";2019-03-01 20:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 20:30:00;0;"Ri+";3,36
"PLTAUD475000010462";2019-03-01 20:45:00;0;"A+";21,36
"PLTAUD475000010462";2019-03-01 20:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 20:45:00;0;"Ri+";3,48
"PLTAUD475000010462";2019-03-01 21:00:00;0;"A+";18,12
"PLTAUD475000010462";2019-03-01 21:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 21:00:00;0;"Ri+";2,88
"PLTAUD475000010462";2019-03-01 21:15:00;0;"A+";17,88
"PLTAUD475000010462";2019-03-01 21:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 21:15:00;0;"Ri+";3,12
"PLTAUD475000010462";2019-03-01 21:30:00;0;"A+";18,84
"PLTAUD475000010462";2019-03-01 21:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 21:30:00;0;"Ri+";2,88
"PLTAUD475000010462";2019-03-01 21:45:00;0;"A+";15,84
"PLTAUD475000010462";2019-03-01 21:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 21:45:00;0;"Ri+";1,92
"PLTAUD475000010462";2019-03-01 22:00:00;0;"A+";15,72
"PLTAUD475000010462";2019-03-01 22:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 22:00:00;0;"Ri+";1,8
"PLTAUD475000010462";2019-03-01 22:15:00;0;"A+";15,6
"PLTAUD475000010462";2019-03-01 22:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 22:15:00;0;"Ri+";2,04
"PLTAUD475000010462";2019-03-01 22:30:00;0;"A+";15,12
"PLTAUD475000010462";2019-03-01 22:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 22:30:00;0;"Ri+";2,76
"PLTAUD475000010462";2019-03-01 22:45:00;0;"A+";15
"PLTAUD475000010462";2019-03-01 22:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 22:45:00;0;"Ri+";2,04
"PLTAUD475000010462";2019-03-01 23:00:00;0;"A+";13,92
"PLTAUD475000010462";2019-03-01 23:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 23:00:00;0;"Ri+";2,76
"PLTAUD475000010462";2019-03-01 23:15:00;0;"A+";12,84
"PLTAUD475000010462";2019-03-01 23:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 23:15:00;0;"Ri+";2,76
"PLTAUD475000010462";2019-03-01 23:30:00;0;"A+";12,24
"PLTAUD475000010462";2019-03-01 23:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 23:30:00;0;"Ri+";2,28
"PLTAUD475000010462";2019-03-01 23:45:00;0;"A+";11,76
"PLTAUD475000010462";2019-03-01 23:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 23:45:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-03-02 00:00:00;0;"A+";11,88
"PLTAUD475000010462";2019-03-02 00:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 00:00:00;0;"Ri+";2,52
"PLTAUD475000010462";2019-03-02 00:15:00;0;"A+";12,12
"PLTAUD475000010462";2019-03-02 00:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 00:15:00;0;"Ri+";2,28
"PLTAUD475000010462";2019-03-02 00:30:00;0;"A+";11,4
"PLTAUD475000010462";2019-03-02 00:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 00:30:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-03-02 00:45:00;0;"A+";10,32
"PLTAUD475000010462";2019-03-02 00:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 00:45:00;0;"Ri+";1,8
"PLTAUD475000010462";2019-03-02 01:00:00;0;"A+";10,44
"PLTAUD475000010462";2019-03-02 01:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 01:00:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-03-02 01:15:00;0;"A+";10,8
"PLTAUD475000010462";2019-03-02 01:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 01:15:00;0;"Ri+";2,4
"PLTAUD475000010462";2019-03-02 01:30:00;0;"A+";10,56
"PLTAUD475000010462";2019-03-02 01:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 01:30:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-03-02 01:45:00;0;"A+";9,96
"PLTAUD475000010462";2019-03-02 01:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 01:45:00;0;"Ri+";2,4
"PLTAUD475000010462";2019-03-02 02:00:00;0;"A+";10,44
"PLTAUD475000010462";2019-03-02 02:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 02:00:00;0;"Ri+";2,04
"PLTAUD475000010462";2019-03-02 02:15:00;0;"A+";10,44
"PLTAUD475000010462";2019-03-02 02:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 02:15:00;0;"Ri+";2,4
"PLTAUD475000010462";2019-03-02 02:30:00;0;"A+";10,32
"PLTAUD475000010462";2019-03-02 02:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 02:30:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-03-02 02:45:00;0;"A+";9,6
"PLTAUD475000010462";2019-03-02 02:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 02:45:00;0;"Ri+";2,28
"PLTAUD475000010462";2019-03-02 03:00:00;0;"A+";9,48
"PLTAUD475000010462";2019-03-02 03:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 03:00:00;0;"Ri+";2,4
"PLTAUD475000010462";2019-03-02 03:15:00;0;"A+";9,48
"PLTAUD475000010462";2019-03-02 03:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 03:15:00;0;"Ri+";2,28
"PLTAUD475000010462";2019-03-02 03:30:00;0;"A+";9,84
"PLTAUD475000010462";2019-03-02 03:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 03:30:00;0;"Ri+";2,76
"PLTAUD475000010462";2019-03-02 03:45:00;0;"A+";9,48
"PLTAUD475000010462";2019-03-02 03:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 03:45:00;0;"Ri+";2,4
"PLTAUD475000010462";2019-03-02 04:00:00;0;"A+";9,12
"PLTAUD475000010462";2019-03-02 04:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 04:00:00;0;"Ri+";2,28
"PLTAUD475000010462";2019-03-02 04:15:00;0;"A+";9,96
"PLTAUD475000010462";2019-03-02 04:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 04:15:00;0;"Ri+";2,64
"PLTAUD475000010462";2019-03-02 04:30:00;0;"A+";9,6
"PLTAUD475000010462";2019-03-02 04:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 04:30:00;0;"Ri+";2,88
"PLTAUD475000010462";2019-03-02 04:45:00;0;"A+";9,6
"PLTAUD475000010462";2019-03-02 04:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 04:45:00;0;"Ri+";2,64
"PLTAUD475000010462";2019-03-02 05:00:00;0;"A+";9,12
"PLTAUD475000010462";2019-03-02 05:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 05:00:00;0;"Ri+";2,76
"PLTAUD475000010462";2019-03-02 05:15:00;0;"A+";9,12
"PLTAUD475000010462";2019-03-02 05:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 05:15:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-03-02 05:30:00;0;"A+";10,56
"PLTAUD475000010462";2019-03-02 05:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 05:30:00;0;"Ri+";2,64
"PLTAUD475000010462";2019-03-02 05:45:00;0;"A+";11,76
"PLTAUD475000010462";2019-03-02 05:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 05:45:00;0;"Ri+";2,88
"PLTAUD475000010462";2019-03-02 06:00:00;0;"A+";12
"PLTAUD475000010462";2019-03-02 06:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 06:00:00;0;"Ri+";3,36
"PLTAUD475000010462";2019-03-02 06:15:00;0;"A+";12,96
"PLTAUD475000010462";2019-03-02 06:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 06:15:00;0;"Ri+";4,32
"PLTAUD475000010462";2019-03-02 06:30:00;0;"A+";12
"PLTAUD475000010462";2019-03-02 06:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 06:30:00;0;"Ri+";3,72
"PLTAUD475000010462";2019-03-02 06:45:00;0;"A+";11,76
"PLTAUD475000010462";2019-03-02 06:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 06:45:00;0;"Ri+";2,88
"PLTAUD475000010462";2019-03-02 07:00:00;0;"A+";11,52
"PLTAUD475000010462";2019-03-02 07:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 07:00:00;0;"Ri+";3
"PLTAUD475000010462";2019-03-02 07:15:00;0;"A+";12,72
"PLTAUD475000010462";2019-03-02 07:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 07:15:00;0;"Ri+";3,36
"PLTAUD475000010462";2019-03-02 07:30:00;0;"A+";11,76
"PLTAUD475000010462";2019-03-02 07:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 07:30:00;0;"Ri+";3,6
"PLTAUD475000010462";2019-03-02 07:45:00;0;"A+";12,48
"PLTAUD475000010462";2019-03-02 07:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 07:45:00;0;"Ri+";3,36
"PLTAUD475000010462";2019-03-02 08:00:00;0;"A+";12,6
"PLTAUD475000010462";2019-03-02 08:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 08:00:00;0;"Ri+";3,72
"PLTAUD475000010462";2019-03-02 08:15:00;0;"A+";13,08
"PLTAUD475000010462";2019-03-02 08:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-02 08:15:00;0;"Ri+";3,96
"PLTAUD475000010462";2019-03-02 08:30:00;0;"A+";14,76
"PLTAUD475000010462";2019-03-02 08:30:00;0;"Rc-";0
