"C","lr","maxiter","Czulosc_TRAIN","Specyficznosc_TRAIN","Jakosc_TRAIN","Czulosc_TEST","Specyficznosc_TEST","Jakosc_TEST"
22,0.01,500,0.848037518037518,0.848037518037518,0.615625,0.829090909090909,0.829090909090909,0.6375
23,0.01,500,0.627165627165627,0.627165627165627,0.6,0.552380952380952,0.552380952380952,0.55
24,0.01,500,0.968421052631579,0.968421052631579,0.60625,0.891666666666667,0.891666666666667,0.6
25,0.01,500,0.649932345696145,0.649932345696145,0.6,0.686666666666667,0.686666666666667,0.6125
26,0.01,500,0.794109824109824,0.794109824109824,0.64375,0.720606060606061,0.720606060606061,0.5875
27,0.01,500,0.773065373065373,0.773065373065373,0.609375,0.774603174603175,0.774603174603175,0.5875
28,0.01,500,0.635015519721402,0.635015519721402,0.603125,0.628138528138528,0.628138528138528,0.5375
29,0.01,500,0.602898913951545,0.602898913951545,0.640625,0.467272727272727,0.467272727272727,0.575
30,0.01,500,0.641813473392421,0.641813473392421,0.575,0.702777777777778,0.702777777777778,0.5375
31,0.01,500,0.455681997787261,0.455681997787261,0.578125,0.504444444444444,0.504444444444444,0.5625
32,0.01,500,0.596225121627598,0.596225121627598,0.621875,0.575757575757576,0.575757575757576,0.55
33,0.01,500,0.704639834639835,0.704639834639835,0.584375,0.54963480963481,0.54963480963481,0.5125
34,0.01,500,0.611111111111111,0.611111111111111,0.525,0.575,0.575,0.5
35,0.01,500,0.605192034139403,0.605192034139403,0.6375,0.646111111111111,0.646111111111111,0.625
36,0.01,500,0.828171390013495,0.828171390013495,0.640625,0.713095238095238,0.713095238095238,0.5875
37,0.01,500,0.54187033923876,0.54187033923876,0.565625,0.591666666666667,0.591666666666667,0.6125
38,0.01,500,0.889180609180609,0.889180609180609,0.5875,0.861818181818182,0.861818181818182,0.6375
39,0.01,500,0.817484397267679,0.817484397267679,0.6,0.773333333333333,0.773333333333333,0.6375
40,0.01,500,0.867251461988304,0.867251461988304,0.5875,0.817777777777778,0.817777777777778,0.5625
41,0.01,500,0.549759273443484,0.549759273443484,0.559375,0.464920634920635,0.464920634920635,0.5375
42,0.01,500,0.560036352141615,0.560036352141615,0.615625,0.615555555555556,0.615555555555556,0.625
43,0.01,500,0.901631701631702,0.901631701631702,0.59375,0.877922077922078,0.877922077922078,0.575
44,0.01,500,0.739002109002109,0.739002109002109,0.58125,0.723576423576424,0.723576423576424,0.6375
45,0.01,500,0.442813252813253,0.442813252813253,0.553125,0.43974025974026,0.43974025974026,0.5375
46,0.01,500,0.714714714714715,0.714714714714715,0.565625,0.731111111111111,0.731111111111111,0.5875
47,0.01,500,0.904594594594595,0.904594594594595,0.584375,0.848484848484849,0.848484848484849,0.625
48,0.01,500,0.613774300616406,0.613774300616406,0.5875,0.543888888888889,0.543888888888889,0.575
49,0.01,500,0.579702374439217,0.579702374439217,0.553125,0.563888888888889,0.563888888888889,0.625
50,0.01,500,0.483553113553114,0.483553113553114,0.53125,0.507532467532468,0.507532467532468,0.5375
51,0.01,500,0.655910609857978,0.655910609857978,0.6,0.665909090909091,0.665909090909091,0.575
52,0.01,500,0.894285714285714,0.894285714285714,0.63125,0.860064935064935,0.860064935064935,0.5125
53,0.01,500,0.736415362731152,0.736415362731152,0.628125,0.658333333333333,0.658333333333333,0.5375
54,0.01,500,0.853745173745174,0.853745173745174,0.578125,0.808080808080808,0.808080808080808,0.575
55,0.01,500,0.752923976608187,0.752923976608187,0.59375,0.675,0.675,0.5125
56,0.01,500,0.657017543859649,0.657017543859649,0.615625,0.546818181818182,0.546818181818182,0.4875
57,0.01,500,0.734638202930886,0.734638202930886,0.590625,0.742857142857143,0.742857142857143,0.525
58,0.01,500,0.625190467914926,0.625190467914926,0.6,0.542063492063492,0.542063492063492,0.6
59,0.01,500,0.687592966155225,0.687592966155225,0.58125,0.665,0.665,0.6375
60,0.01,500,0.699459459459459,0.699459459459459,0.56875,0.703030303030303,0.703030303030303,0.5125
61,0.01,500,0.657142857142857,0.657142857142857,0.54375,0.636363636363636,0.636363636363636,0.5375
62,0.01,500,0.648648648648649,0.648648648648649,0.6125,0.622222222222222,0.622222222222222,0.6
63,0.01,500,0.499415204678363,0.499415204678363,0.534375,0.45,0.45,0.5125
64,0.01,500,0.422805077805078,0.422805077805078,0.55625,0.420512820512821,0.420512820512821,0.6125
65,0.01,500,0.665659777424483,0.665659777424483,0.565625,0.672222222222222,0.672222222222222,0.5375
66,0.01,500,0.597373551046435,0.597373551046435,0.5875,0.508484848484849,0.508484848484849,0.5625
67,0.01,500,0.656085032400822,0.656085032400822,0.60625,0.663888888888889,0.663888888888889,0.5375
68,0.01,500,0.645563909774436,0.645563909774436,0.55,0.638636363636364,0.638636363636364,0.5875
69,0.01,500,0.750733590733591,0.750733590733591,0.628125,0.701010101010101,0.701010101010101,0.5125
70,0.01,500,0.518389469608982,0.518389469608982,0.546875,0.472727272727273,0.472727272727273,0.525
71,0.01,500,0.541981981981982,0.541981981981982,0.584375,0.615873015873016,0.615873015873016,0.6125
